id,type,a,b,gen
1439,X,1267,1173,9
1440,X,1290,1172,9
1441,X,1290,1172,9
1442,X,1166,1009,9
1443,X,1166,1009,9
1444,X,1242,1256,9
1445,X,1242,1256,9
1446,X,1019,1093,9
1447,X,1019,1093,9
1448,X,1289,1200,9
1449,X,1289,1200,9
1450,A,1394,None,10
1451,A,1433,None,10
1452,A,1312,None,10
1453,A,1393,None,10
1454,A,1434,None,10
1455,A,1305,None,10
1456,A,1409,None,10
1457,A,1444,None,10
1458,A,1356,None,10
1459,A,1142,None,10
1460,A,1422,None,10
1461,A,1155,None,10
1462,A,1155,None,10
1463,A,1300,None,10
1464,A,1363,None,10
1465,A,1434,None,10
1466,A,1434,None,10
1467,A,1409,None,10
1468,A,1433,None,10
1469,A,1434,None,10
1470,A,1338,None,10
1471,A,1350,None,10
1472,A,1284,None,10
1473,A,1310,None,10
1474,A,1350,None,10
1475,A,1306,None,10
1476,A,1409,None,10
1477,A,1411,None,10
1478,A,1374,None,10
1479,A,1305,None,10
1480,D,1305,None,10
1481,D,1305,None,10
1482,D,1305,None,10
1483,D,1305,None,10
1484,D,1305,None,10
1485,D,1305,None,10
1486,D,1305,None,10
1487,D,1305,None,10
1488,D,1305,None,10
1489,D,1305,None,10
1490,D,1305,None,10
1491,D,1305,None,10
1492,D,1305,None,10
1493,D,1305,None,10
1494,D,1305,None,10
1495,D,1305,None,10
1496,D,1305,None,10
1497,D,1305,None,10
1498,D,1305,None,10
1499,D,1305,None,10
1500,X,1315,1417,10
1501,X,1315,1417,10
1502,X,1422,1419,10
1503,X,1422,1419,10
1504,X,1336,1284,10
1505,X,1336,1284,10
1506,X,1414,1311,10
1507,X,1414,1311,10
1508,X,1319,1151,10
1509,X,1319,1151,10
1510,X,1338,1396,10
1511,X,1338,1396,10
1512,X,1304,1410,10
1513,X,1304,1410,10
1514,X,1370,1342,10
1515,X,1370,1342,10
1516,X,1374,1370,10
1517,X,1374,1370,10
1518,X,1305,1314,10
1519,X,1305,1314,10
1520,X,1330,1393,10
1521,X,1330,1393,10
1522,X,1393,1176,10
1523,X,1393,1176,10
1524,X,1176,1315,10
1525,X,1176,1315,10
1526,X,1314,1356,10
1527,X,1314,1356,10
1528,X,1168,1354,10
1529,X,1168,1354,10
1530,X,1176,1374,10
1531,X,1176,1374,10
1532,X,1350,1314,10
1533,X,1350,1314,10
1534,X,1444,1396,10
1535,X,1444,1396,10
1536,X,1411,1142,10
1537,X,1411,1142,10
1538,X,1151,1349,10
1539,X,1151,1349,10
1540,X,1342,1383,10
1541,X,1342,1383,10
1542,X,1176,1365,10
1543,X,1176,1365,10
1544,X,1394,1409,10
1545,X,1394,1409,10
1546,X,1317,1366,10
1547,X,1317,1366,10
1548,X,1428,1359,10
1549,X,1428,1359,10
1550,X,1447,1151,10
1551,X,1447,1151,10
1552,X,1386,1305,10
1553,X,1386,1305,10
1554,X,1356,1408,10
1555,X,1356,1408,10
1556,X,1449,1353,10
1557,X,1449,1353,10
1558,X,1328,1414,10
1559,X,1328,1414,10
1560,X,1319,1363,10
1561,X,1319,1363,10
1562,X,1386,1155,10
1563,X,1386,1155,10
1564,X,1363,1370,10
1565,X,1363,1370,10
1566,X,1350,1359,10
1567,X,1350,1359,10
1568,X,1317,1350,10
1569,X,1317,1350,10
1570,X,1352,1331,10
1571,X,1352,1331,10
1572,X,1304,1394,10
1573,X,1304,1394,10
1574,X,1435,1370,10
1575,X,1435,1370,10
1576,X,1409,1392,10
1577,X,1409,1392,10
1578,X,1132,1358,10
1579,X,1132,1358,10
1580,X,1322,1322,10
1581,X,1322,1322,10
1582,X,1323,1315,10
1583,X,1323,1315,10
1584,X,1155,1330,10
1585,X,1155,1330,10
1586,X,1151,1444,10
1587,X,1151,1444,10
1588,X,1411,1322,10
1589,X,1411,1322,10
1590,X,1350,1303,10
1591,X,1350,1303,10
1592,X,1200,1353,10
1593,X,1200,1353,10
1594,X,1132,1322,10
1595,X,1132,1322,10
1596,X,1155,1303,10
1597,X,1155,1303,10
1598,X,1336,1408,10
1599,X,1336,1408,10
